cloud,family_category,family,family_sort,size,cpu,memory,storage_boot,storage_extra,network_bandwidth,other_devices,cpu_type,family_url,virt
Amazon Web Services,General Purpose,A1,1,a1.medium,1,2,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,General Purpose,A1,2,a1.large,2,4,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,General Purpose,A1,3,a1.xlarge,4,8,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,General Purpose,A1,4,a1.2xlarge,8,16,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,General Purpose,A1,5,a1.4xlarge,16,32,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,General Purpose,A1,6,a1.metal,16,32,EBS,,<=10,,AWS Graviton,https://aws.amazon.com/ec2/instance-types/a1/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C4,1,c4.large,2,3.75,EBS,,Moderate,,Intel Xeon E5-2666 v3 (Haswell),https://aws.amazon.com/blogs/aws/now-available-new-c4-instances/,HVM (Xen)
Amazon Web Services,Compute Optimized,C4,2,c4.xlarge,4,7.5,EBS,,High,,Intel Xeon E5-2666 v3 (Haswell),https://aws.amazon.com/blogs/aws/now-available-new-c4-instances/,HVM (Xen)
Amazon Web Services,Compute Optimized,C4,3,c4.2xlarge,8,15,EBS,,High,,Intel Xeon E5-2666 v3 (Haswell),https://aws.amazon.com/blogs/aws/now-available-new-c4-instances/,HVM (Xen)
Amazon Web Services,Compute Optimized,C4,4,c4.4xlarge,16,30,EBS,,High,,Intel Xeon E5-2666 v3 (Haswell),https://aws.amazon.com/blogs/aws/now-available-new-c4-instances/,HVM (Xen)
Amazon Web Services,Compute Optimized,C4,5,c4.8xlarge,36,60,EBS,,10,,Intel Xeon E5-2666 v3 (Haswell),https://aws.amazon.com/blogs/aws/now-available-new-c4-instances/,HVM (Xen)
Amazon Web Services,Compute Optimized,C5,1,c5.large,2,4,EBS,,<=10,,Intel Xeon (Cascade Lake or Skylake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C5,2,c5.xlarge,4,8,EBS,,<=10,,Intel Xeon (Cascade Lake or Skylake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C5,3,c5.2xlarge,8,16,EBS,,<=10,,Intel Xeon (Cascade Lake or Skylake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C5,4,c5.4xlarge,16,32,EBS,,<=10,,Intel Xeon (Cascade Lake or Skylake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C5,5,c5.9xlarge,36,72,EBS,,10,,Intel Xeon (Cascade Lake or Skylake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
Amazon Web Services,Compute Optimized,C5,6,c5.12xlarge,48,96,EBS,,12,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/c5/,Nitro (KVM)
