Key,Display Name,Category,Category Order,Style,Regex,Example
currentGeneration,Generation,Amazon,1,value,,No
instance_type,Instance Type,Amazon,2,,,cache.m3.2xlarge
family,Family,Amazon,3,,,Standard
pretty_name,Name,Amazon,4,,,M3 Previous generation: (not recommended) Double Extra Large
vcpu,CPUs,Compute,1,,,8
memory,Memory (GiB),Compute,2,,,27.9
cacheEngine,Cache Software,Not Shown,0,,,Memcached
network_performance,Network Performance (Gibps),Networking,1,,(Up to )?[+-]?([0-9]*[.])?[0-9]+,High
networkPerformance,Network Performance (Gibps),Not Shown,0,,,High
servicecode,,Not Shown,0,,,AmazonElastiCache
instanceType,Instance Type,Not Shown,0,,,cache.m3.2xlarge
instanceFamily,Family,Not Shown,0,,,Standard
regionCode,,Not Shown,0,,,ap-northeast-1
servicename,AWS Service,Not Shown,0,,,Amazon ElastiCache
network_sort,,Not Shown,0,,,8
ECU_per_vcpu,Amazon,Not Shown,0,,,unknown
memory_per_vcpu,Memory per vCPU (GiB),Compute,3,,,4.3
redis6.x-client-output-buffer-limit-replica-soft-limit,,Not Shown,0,,,53687091
redis6.x-client-output-buffer-limit-replica-hard-limit,Cache Max Buffer Size (MiB),Compute,5,bytes,,53687091
redis6.x-maxmemory,Redis Max Memory (MiB),Compute,4,bytes,,536870912
memcached1.6-max_cache_memory,Memcached Max Memory (MiB),Not Shown,7,,,512
memcached1.6-num_threads,Memcached Max Thread Count,Compute,8,,,2
max_clients,Redis Max Clients,Compute,6,,,20000
ssd,SSD (GiB),Storage,1,,\d+,
