Key,Display Name,Category,Value,More Notes
generation,Current Generation,Amazon,current,
ECU,Elastic Compute Units (ECU),Amazon,39,
emr,Elastic Map Reduce (EMR),Amazon,TRUE,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-what-is-emr.html
family,Family,Amazon,Compute optimized,
instance_type,Instance Type,Amazon,c5d.2xlarge,https://aws.amazon.com/ec2/instance-types/m5/
pretty_name,Name,Amazon,C5 High-CPU Double Extra Large,
base_performance,Amazon,Not Shown,None,
burst_minutes,Amazon,Not Shown,None,
ECU_per_vcpu,Amazon,Not Shown,4.875,
arch,CPU Architecture,Compute,['x86_64'],
memory_per_vcpu,CPU Memory,Compute,2,
vCPU,CPUs,Compute,8,
GPU,GPU,Compute,0,
clock_speed_ghz,Clock Speed (GHz),Compute,3 GHz,
FPGA,FPGA,Compute,0,
GPU_model,GPU Architecture,Compute,None,
compute_capability,GPU Compute Capability (?),Compute,0,
intel_turbo,Intel Turbo,Compute,Yes,
linux_virtualization_types,Linux Virtualization Type,Amazon,['HVM'],
intel_avx,Hardware,Not Shown,Yes,
intel_avx2,Hardware,Not Shown,Yes,
intel_avx512,Hardware,Not Shown,Yes,
physical_processor,Physical Processor,Compute,Intel Xeon Platinum 8124M,
GPU_memory,Video Memory,Compute,0,
vpc,VPC Details,Networking,"{'ips_per_eni': 15, 'max_enis': 4}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html#AvailableIpPerENI
enhanced_networking,Enhance Networking,Networking,TRUE,
ipv6_support,IPV6,Networking,TRUE,
network_performance,Network Performance (GBps),Networking,Up to 10 Gigabit,https://stackoverflow.com/questions/18507405/ec2-instance-typess-exact-network-performance
vpc_only,Networking,Not Shown,TRUE,
network_sort,Networking,Not Shown,12,
placement_group_support,Placement Group (?),Networking,FALSE,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html
pricing,Pricing,Pricing,,
ondemand,,Pricing,0.549,
reserved,,Pricing,0.549,
yrTerm1Convertible.allUpfront,,Pricing,0.421918,
yrTerm1Convertible.noUpfront,,Pricing,0.421918,
yrTerm1Convertible.partialUpfront,,Pricing,0.421918,
yrTerm1Standard.allUpfront,,Pricing,0.421918,
yrTerm1Standard.noUpfront,,Pricing,0.421918,
yrTerm1Standard.partialUpfront,,Pricing,0.421918,
yrTerm3Convertible.allUpfront,,Pricing,0.421918,
yrTerm3Convertible.noUpfront,,Pricing,0.421918,
yrTerm3Convertible.partialUpfront,,Pricing,0.421918,
yrTerm3Standard.allUpfront,,Pricing,0.421918,
yrTerm3Standard.noUpfront,,Pricing,0.421918,
yrTerm3Standard.partialUpfront,,Pricing,0.421918,
spot_max,,Pricing,0.421918,
spot_min,,Pricing,0.421918,
spot,,Pricing,0.421918,
ebs_max_bandwidth,Bandwidth (Mbps) Max on EBS,Storage,4750,
ebs_optimized,EBS Optimized,Storage,FALSE,
ebs_iops,I/O Operations/second (IOPS),Storage,20000,
memory,Memory (GB),Compute,16,
ebs_as_nvme,Storage,Not Shown,TRUE,
storage,Disk Details,Storage,"{'devices': 1, 'includes_swap_partition': False, 'nvme_ssd': True, 'size': 200, 'size_unit': 'GB', 'ssd': True, 'storage_needs_initialization': False, 'trim_support': True}",Split/Not Shown
ebs_throughput,Throughput (MBs) on EBS,Storage,593.75,
liquidity_profile,Liquidity Profile,Vantage,,
comments,Comments,Vantage,,
instances_compare_link,Comparable Instances,Vantage,,
news,News,Vantage,,
description,Description,Vantage,,
availability_zones,Availability Restrictions,,"{'ap-northeast-1': ['apne1-az1', 'apne1-az2', 'apne1-az4'], 'ap-northeast-2': ['apne2-az1', 'apne2-az2', 'apne2-az3', 'apne2-az4'], 'ap-northeast-3': ['apne3-az1', 'apne3-az2', 'apne3-az3'], 'ap-south-1': ['aps1-az1', 'aps1-az2', 'aps1-az3'], 'ap-southeast-1': ['apse1-az1', 'apse1-az2', 'apse1-az3'], 'ap-southeast-2': ['apse2-az1', 'apse2-az2', 'apse2-az3'], 'ca-central-1': ['cac1-az1', 'cac1-az2', 'cac1-az4'], 'eu-central-1': ['euc1-az1', 'euc1-az2', 'euc1-az3'], 'eu-north-1': ['eun1-az1', 'eun1-az2', 'eun1-az3'], 'eu-west-1': ['euw1-az1', 'euw1-az2', 'euw1-az3'], 'eu-west-2': ['euw2-az1', 'euw2-az2', 'euw2-az3'], 'eu-west-3': ['euw3-az1', 'euw3-az2', 'euw3-az3'], 'sa-east-1': ['sae1-az1', 'sae1-az2', 'sae1-az3'], 'us-east-1': ['use1-az1', 'use1-az2', 'use1-az4', 'use1-az5', 'use1-az6'], 'us-east-2': ['use2-az1', 'use2-az2', 'use2-az3'], 'us-west-1': ['usw1-az1', 'usw1-az3'], 'us-west-2': ['usw2-az1', 'usw2-az2', 'usw2-az3', 'usw2-az4']}","Feature: Diff this list against the complete list of availability zones and regions to find any regions where this instance is not available. Complexity comes from Spot, it appears some instances are available everywhere but not available to be purchases as Spots everywhere."
