Key,Display Name,Category,Category Order,Style,Regex,Example
currentGeneration,Generation,Amazon,1,value,,
instance_type,Instance Type,Amazon,2,,,
family,Family,Amazon,3,,,
pretty_name,Name,Amazon,4,,,
vcpu,CPUs,Compute,1,,,
memory,Memory (GiB),Compute,2,,,
memoryGib,,Not Shown,0,,,
storage,Storage,Storage,1,,,
servicecode,,Not Shown,0,,,
instanceType,Instance Type,Not Shown,0,,,
instanceFamily,Family,Not Shown,0,,,
regionCode,,Not Shown,0,,,
servicename,AWS Service,Not Shown,0,,,
ECU_per_vcpu,Amazon,Not Shown,0,,,
memory_per_vcpu,Memory per vCPU (GiB),Compute,3,,,
min_ebs,Minimum EBS Size (GiB),Storage,2,,,
max_ebs_gp2,Maxiumum EBS Size for GP2 Volumes,Storage,3,,,
max_ebs_gp3,Maxiumum EBS Size for GP3 Volumes,Storage,4,,,
max_http_payload,Maximum HTTP Request Size,Networking,1,,,
max_storage,Maximum Ultrawarm Storage,Storage,5,,,
