Key,Display Name,Category,Category Order,Style,Regex,Example
currentGeneration,Generation,Amazon,1,value,,
instance_type,Instance Type,Amazon,2,,,
family,Family,Amazon,3,,,
pretty_name,Name,Amazon,4,,,
vcpu,CPUs,Compute,1,,,
memory,Memory (GiB),Compute,2,,,
storage,Storage,Storage,1,,,
io,I/O GiBps,Storage,2,,,
servicecode,,Not Shown,0,,,
instanceType,Instance Type,Not Shown,0,,,
instanceFamily,Family,Not Shown,0,,,
regionCode,,Not Shown,0,,,
servicename,AWS Service,Not Shown,0,,,
ECU_per_vcpu,Amazon,Not Shown,0,,,
memory_per_vcpu,Memory per vCPU (GiB),Compute,3,,,
slices_per_node,Default Slices per Node,Compute,4,,,
storage_per_node,Max Storage per Node,Storage,3,,,
node_range,Node Range,Compute,5,,,
storage_capacity,Max Storage Capcity,Storage,4,,,
multi-node_storage_per_node,Max Storage per Node (Multi-node),Storage,5,,,
multi-node_node_range,Node Range (Mulit-node),Compute,6,,,
multi-node_storage_capacity,Max Storage Capcity (Multi-node),Storage,6,,,
